Genre;Bibl;ContextBefore;Hit;ContextAfter;wh-Phrase;Sluice?;If no sluice: What is it then?;If sluice: embedding predicate;Number of embedding verb chunk;Merger/Sprouting;Negation;sentence length;POStagged hit;POStagged context_before;POStag wh-phrase;last verbal element before wh-phrase;embedding verb = last verbal element?;prediction
Belletristik;Knef, Hildegard: Der geschenkte Gaul, Berlin: Ullstein 1999 [1970], S. 155;Applaus sagt: Du hast es geschafft, für den Moment hast du 's geschafft, wir haben dich gern, lieben dich, bist nicht mehr» Sowas muß es auch geben «,» Knef, Ihre Versetzung steht in Frage «,» Malerei ist Firlefanz «.;Ruhm ohne Titelblätter, Umfragen, Anfragen, Nachfragen, Geburtsjahr, Ort, Platz, Lieblingsfarbe, Lieblingsblume, Lieblingsessen, Sport, Hobby, Ferien wo und wann.;"Stehst am Anfang, auf erster Stufe, vertrauensselig, daß es nicht abreißt, das Glücksgefühl, die Dankbarkeit, Zustand der Verliebtheit in alle und jeden; das Geschenk des Erfolges, des Überlebthabens, des Davongekommenseins in totgesagter Stadt, die genesen wird, die auf dem Wege zur Besserung; des Berauschtseins vom Geruch zwischen Rampe und Rückwand.";wann;n;elision;;;;y, ohne;18;[['Ruhm', 'NN', 'Ruhm'], ['ohne', 'APPR', 'ohne'], ['Titelblätter', 'NN', 'Titelblatt'], [',', '$,', ','], ['Umfragen', 'NN', 'Umfrage'], [',', '$,', ','], ['Anfragen', 'NN', 'Anfrage'], [',', '$,', ','], ['Nachfragen', 'NN', 'Nachfrage'], [',', '$,', ','], ['Geburtsjahr', 'NN', 'Geburtsjahr'], [',', '$,', ','], ['Ort', 'NN', 'Ort'], [',', '$,', ','], ['Platz', 'NN', 'Platz'], [',', '$,', ','], ['Lieblingsfarbe', 'NN', 'Lieblingsfarbe'], [',', '$,', ','], ['Lieblingsblume', 'NN', 'Lieblingsblume'], [',', '$,', ','], ['Lieblingsessen', 'NN', 'Lieblingsesse'], [',', '$,', ','], ['Sport', 'NN', 'Sport'], [',', '$,', ','], ['Hobby', 'NN', 'Hobby'], [',', '$,', ','], ['Ferien', 'NN', 'Ferien'], ['wo', 'PWAV', 'wo'], ['und', 'KON', 'und'], ['wann', 'PWAV', 'wann'], ['.', '$.', '.']];"[['Applaus', 'NN', 'Applaus'], ['sagt', 'VVFIN', 'sagen'], [':', '$.', ':'], ['Du', 'PPER', 'du'], ['hast', 'VAFIN', 'haben'], ['es', 'PPER', 'es'], ['geschafft', 'VVPP', 'schaffen'], [',', '$,', ','], ['für', 'APPR', 'für'], ['den', 'ART', 'die'], ['Moment', 'NN', 'Moment'], ['hast', 'VAFIN', 'haben'], ['du', 'PPER', 'du'], [""'"", '$(', ""'""], ['s', 'NN', 's'], ['geschafft', 'VVPP', 'schaffen'], [',', '$,', ','], ['wir', 'PPER', 'wir'], ['haben', 'VAFIN', 'haben'], ['dich', 'PPER', 'du'], ['gern', 'ADV', 'gern'], [',', '$,', ','], ['lieben', 'VVFIN', 'lieben'], ['dich', 'PPER', 'du'], [',', '$,', ','], ['bist', 'VAFIN', 'sein'], ['nicht', 'PTKNEG', 'nicht'], ['mehr', 'PIAT', 'mehr'], ['»', 'NN', '<unknown>'], ['Sowas', 'NE', '<unknown>'], ['muß', 'VMFIN', 'müssen'], ['es', 'PPER', 'es'], ['auch', 'ADV', 'auch'], ['geben', 'VVFIN', 'geben'], ['«', 'ADJA', '<unknown>'], [',', '$,', ','], ['»', 'ADJA', '<unknown>'], ['Knef', 'NN', '<unknown>'], [',', '$,', ','], ['Ihre', 'PPOSAT', 'ihr'], ['Versetzung', 'NN', 'Versetzung'], ['steht', 'VVFIN', 'stehen'], ['in', 'APPR', 'in'], ['Frage', 'NN', 'Frage'], ['«', 'ADJA', '<unknown>'], [',', '$,', ','], ['»', 'ADJA', '<unknown>'], ['Malerei', 'NN', 'Malerei'], ['ist', 'VAFIN', 'sein'], ['Firlefanz', 'NN', 'Firlefanz'], ['«', 'ADJD', '<unknown>'], ['.', '$.', '.']]";PWAV;sein;NA;
Zeitung;Archiv der Gegenwart, 2001 [1987];"""Dies hat dazu geführt, daß ich mich nicht mehr daran erinnern konnte, ob ich eine Waffenlieferung vor oder nach bestimmten Ereignissen genehmigt habe.";Ich habe sie genehmigt, aber ich kann nicht mehr genau sagen, wann.;REAGAN hob dann die von ihm vorgenommenen Personalveränderungen in den Vordergrund.;wann;y;;sagen;-1;s;y, nie;12;[['Ich', 'PPER', 'ich'], ['habe', 'VAFIN', 'haben'], ['sie', 'PPER', 'sie'], ['genehmigt', 'VVPP', 'genehmigen'], [',', '$,', ','], ['aber', 'KON', 'aber'], ['ich', 'PPER', 'ich'], ['kann', 'VMFIN', 'können'], ['nicht', 'PTKNEG', 'nicht'], ['mehr', 'ADV', 'mehr'], ['genau', 'ADJD', 'genau'], ['sagen', 'VVINF', 'sagen'], [',', '$,', ','], ['wann', 'PWAV', 'wann'], ['.', '$.', '.']];"[['""', '$(', '""'], ['Dies', 'PDS', 'dies'], ['hat', 'VAFIN', 'haben'], ['dazu', 'PAV', 'dazu'], ['geführt', 'VVPP', 'führen'], [',', '$,', ','], ['daß', 'KOUS', 'dass'], ['ich', 'PPER', 'ich'], ['mich', 'PRF', 'ich'], ['nicht', 'PTKNEG', 'nicht'], ['mehr', 'ADV', 'mehr'], ['daran', 'PAV', 'daran'], ['erinnern', 'VVINF', 'erinnern'], ['konnte', 'VMFIN', 'können'], [',', '$,', ','], ['ob', 'KOUS', 'ob'], ['ich', 'PPER', 'ich'], ['eine', 'ART', 'eine'], ['Waffenlieferung', 'NN', 'Waffenlieferung'], ['vor', 'PTKVZ', 'vor'], ['oder', 'KON', 'oder'], ['nach', 'APPR', 'nach'], ['bestimmten', 'ADJA', 'bestimmt'], ['Ereignissen', 'NN', 'Ereignis'], ['genehmigt', 'VVPP', 'genehmigen'], ['habe', 'VAFIN', 'haben'], ['.', '$.', '.']]";PWAV;sagen;y;
Belletristik;Jentzsch, Kerstin: Seit die Götter ratlos sind, München: Heyne 1999 [1994], S. 203;"""Poté, poté, poté daa da da daa ...""";Wann, wann, wann.;"Den Rest verstand Lisa nicht, nur noch das geträllerte ""masÃ­"", das bedeutete ""gemeinsam"".";wann;n;elision;;;;n;3;[['Wann', 'PWAV', 'wann'], [',', '$,', ','], ['wann', 'PWAV', 'wann'], [',', '$,', ','], ['wann', 'PWAV', 'wann'], ['.', '$.', '.']];"[['""', '$(', '""'], ['Poté', 'NN', '<unknown>'], [',', '$,', ','], ['poté', 'NN', '<unknown>'], [',', '$,', ','], ['poté', 'NN', '<unknown>'], ['daa', 'NE', '<unknown>'], ['da', 'ADV', 'da'], ['da', 'ADV', 'da'], ['daa', 'NE', '<unknown>'], ['...', '$.', '...'], ['""', '$(', '""']]";PWAV;<none>;NA;
Zeitung;Die Zeit, 13.01.2000, Nr. 3;Warum aber wurden dann andere Änderungen kenntlich gemacht?;Nicht nur darüber, wer wie viel gespendet hat, herrscht inzwischen offenbar bei Spendern wie Empfängern Verwirrung, sondern auch darüber, wann.;"Er habe ""am 9. 9. 1998"" an den Landesverband Mecklenburg-Vorpommern 900000 Mark gespendet, hat Karl Ehlerding gegenüber der ZEIT schriftlich erklärt.";wann;y;;Verwirrung herrschen;-1;s;n;20;[['Nicht', 'PTKNEG', 'nicht'], ['nur', 'ADV', 'nur'], ['darüber', 'PAV', 'darüber'], [',', '$,', ','], ['wer', 'PWS', 'wer'], ['wie', 'KOKOM', 'wie'], ['viel', 'PIS', 'viele'], ['gespendet', 'VVPP', 'spenden'], ['hat', 'VAFIN', 'haben'], [',', '$,', ','], ['herrscht', 'VVFIN', 'herrschen'], ['inzwischen', 'ADV', 'inzwischen'], ['offenbar', 'ADJD', 'offenbar'], ['bei', 'APPR', 'bei'], ['Spendern', 'NN', 'Spender'], ['wie', 'KOKOM', 'wie'], ['Empfängern', 'NN', 'Empfänger'], ['Verwirrung', 'NN', 'Verwirrung'], [',', '$,', ','], ['sondern', 'KON', 'sondern'], ['auch', 'ADV', 'auch'], ['darüber', 'PAV', 'darüber'], [',', '$,', ','], ['wann', 'PWAV', 'wann'], ['.', '$.', '.']];[['Warum', 'PWAV', 'warum'], ['aber', 'ADV', 'aber'], ['wurden', 'VAFIN', 'werden'], ['dann', 'ADV', 'dann'], ['andere', 'PIAT', 'andere'], ['Änderungen', 'NN', 'Änderung'], ['kenntlich', 'ADJD', 'kenntlich'], ['gemacht', 'VVPP', 'machen'], ['?', '$.', '?']];PWAV;herrschen;y;
Zeitung;Die Zeit, 09.03.2000, Nr. 11;Aber da wir einem Papst gefolgt sind, den wir fürstlich entlohnt haben, dünkt uns, sein Ort sei doch ein wenig lichter und stechmückenfreier.;Auch in der Politik funktioniert das Heringsprinzip dann und wann.;Helmut Kohls Entschlossenheit, sein Ehrenwort übers Gesetz zu stellen und damit seine Partei an die Wand zu fahren, wurde zumindest in Hamburg und Bremen frenetisch bejubelt.;wann;n;frozen expression;;;;n;10;[['Auch', 'ADV', 'auch'], ['in', 'APPR', 'in'], ['der', 'ART', 'die'], ['Politik', 'NN', 'Politik'], ['funktioniert', 'VVFIN', 'funktionieren'], ['das', 'ART', 'die'], ['Heringsprinzip', 'NN', '<unknown>'], ['dann', 'ADV', 'dann'], ['und', 'KON', 'und'], ['wann', 'PWAV', 'wann'], ['.', '$.', '.']];[['Aber', 'KON', 'aber'], ['da', 'KOUS', 'da'], ['wir', 'PPER', 'wir'], ['einem', 'ART', 'eine'], ['Papst', 'NN', 'Papst'], ['gefolgt', 'VVPP', 'folgen'], ['sind', 'VAFIN', 'sein'], [',', '$,', ','], ['den', 'PRELS', 'die'], ['wir', 'PPER', 'wir'], ['fürstlich', 'ADJD', 'fürstlich'], ['entlohnt', 'VVPP', 'entlohnen'], ['haben', 'VAFIN', 'haben'], [',', '$,', ','], ['dünkt', 'VVFIN', 'dünken'], ['uns', 'PPER', 'wir'], [',', '$,', ','], ['sein', 'PPOSAT', 'sein'], ['Ort', 'NN', 'Ort'], ['sei', 'VAFIN', 'sein'], ['doch', 'ADV', 'doch'], ['ein', 'ART', 'eine'], ['wenig', 'PIAT', 'wenige'], ['lichter', 'ADJA', 'licht'], ['und', 'KON', 'und'], ['stechmückenfreier', 'ADJD', '<unknown>'], ['.', '$.', '.']];PWAV;funktionieren;NA;
Zeitung;Die Zeit, 23.03.2000, Nr. 13;Freude, das ja.;Dann und wann.;Wenn fünf Gläubige im Gottesdienst waren.;wann;n;frozen expression;;;;n;3;[['Dann', 'ADV', 'dann'], ['und', 'KON', 'und'], ['wann', 'PWAV', 'wann'], ['.', '$.', '.']];[['Freude', 'NN', 'Freude'], [',', '$,', ','], ['das', 'PRELS', 'die'], ['ja', 'ADV', 'ja'], ['.', '$.', '.']];PWAV;<none>;NA;
Belletristik;Hettche, Thomas: Der Fall Arbogast, Köln: DuMont Buchverlag, 2001, S. 94;Irgendwann zu Beginn seiner Zeit hier, das wußte er noch, hatte er begonnen, jedem zu sagen, daß er unschuldig sei, immer und immer wieder, auch wenn man ihn beim Hofgang schnitt und ihm auswich, und auch als man ihn einmal auf der Treppe angerempelt hatte.;Dann hatte das aufgehört, ohne daß er noch wußte, wann.;Nur zu sprechen hatte er trotzdem mit niemandem begonnen.;wann;y;;wissen;-1;m;y, ohne;10;[['Dann', 'ADV', 'dann'], ['hatte', 'VAFIN', 'haben'], ['das', 'PDS', 'die'], ['aufgehört', 'VVPP', 'aufhören'], [',', '$,', ','], ['ohne', 'APPR', 'ohne'], ['daß', 'KOUS', 'dass'], ['er', 'PPER', 'er'], ['noch', 'ADV', 'noch'], ['wußte', 'VVFIN', 'wissen'], [',', '$,', ','], ['wann', 'PWAV', 'wann'], ['.', '$.', '.']];[['Irgendwann', 'ADV', 'irgendwann'], ['zu', 'APPR', 'zu'], ['Beginn', 'NN', 'Beginn'], ['seiner', 'PPOSAT', 'sein'], ['Zeit', 'NN', 'Zeit'], ['hier', 'ADV', 'hier'], [',', '$,', ','], ['das', 'PDS', 'die'], ['wußte', 'VVFIN', 'wissen'], ['er', 'PPER', 'er'], ['noch', 'ADV', 'noch'], [',', '$,', ','], ['hatte', 'VAFIN', 'haben'], ['er', 'PPER', 'er'], ['begonnen', 'VVPP', 'beginnen'], [',', '$,', ','], ['jedem', 'PIS', 'jede'], ['zu', 'PTKZU', 'zu'], ['sagen', 'VVINF', 'sagen'], [',', '$,', ','], ['daß', 'KOUS', 'dass'], ['er', 'PPER', 'er'], ['unschuldig', 'ADJD', 'unschuldig'], ['sei', 'VAFIN', 'sein'], [',', '$,', ','], ['immer', 'ADV', 'immer'], ['und', 'KON', 'und'], ['immer', 'ADV', 'immer'], ['wieder', 'ADV', 'wieder'], [',', '$,', ','], ['auch', 'ADV', 'auch'], ['wenn', 'KOUS', 'wenn'], ['man', 'PIS', 'man'], ['ihn', 'PPER', 'er'], ['beim', 'APPRART', 'bei'], ['Hofgang', 'NN', 'Hofgang'], ['schnitt', 'VVFIN', 'schneiden'], ['und', 'KON', 'und'], ['ihm', 'PPER', 'er'], ['auswich', 'VVFIN', 'ausweichen'], [',', '$,', ','], ['und', 'KON', 'und'], ['auch', 'ADV', 'auch'], ['als', 'KOUS', 'als'], ['man', 'PIS', 'man'], ['ihn', 'PPER', 'er'], ['einmal', 'ADV', 'einmal'], ['auf', 'APPR', 'auf'], ['der', 'ART', 'die'], ['Treppe', 'NN', 'Treppe'], ['angerempelt', 'VVPP', 'anrempeln'], ['hatte', 'VAFIN', 'haben'], ['.', '$.', '.']];PWAV;wissen;y;
Belletristik;Honigmann, Barbara: Ein Kapitel aus meinem Leben, München Wien: Carl Hanser Verlag 2004, S. 83;Sonst war es immer umgekehrt in meinem Zusammenleben mit Männern, oder es scheint mir zumindest so, daß immer ich es war, die mehr gegeben hat, und am Ende verließen mich die Männer dann, so wie dein Vater.;Aber auch die Liebe mit Pieter ist irgendwo verlorengegangen, und ich weiß nicht einmal genau, wo und wann.;Mit Kriegsausbruch mußte er nach Holland zurückkehren, und wir haben erst viele Jahre später wieder voneinander gehört, da war ich schon mit deinem Vater verheiratet oder vielleicht sogar schon wieder von ihm geschieden.;wann;y;;wissen;-1;m;y, nicht;18;[['Aber', 'KON', 'aber'], ['auch', 'ADV', 'auch'], ['die', 'ART', 'die'], ['Liebe', 'NN', 'Liebe'], ['mit', 'APPR', 'mit'], ['Pieter', 'NE', 'Pieter'], ['ist', 'VAFIN', 'sein'], ['irgendwo', 'ADV', 'irgendwo'], ['verlorengegangen', 'ADJD', 'verlorengegangen'], [',', '$,', ','], ['und', 'KON', 'und'], ['ich', 'PPER', 'ich'], ['weiß', 'VVFIN', 'wissen'], ['nicht', 'PTKNEG', 'nicht'], ['einmal', 'ADV', 'einmal'], ['genau', 'ADJD', 'genau'], [',', '$,', ','], ['wo', 'PWAV', 'wo'], ['und', 'KON', 'und'], ['wann', 'PWAV', 'wann'], ['.', '$.', '.']];[['Sonst', 'ADV', 'sonst'], ['war', 'VAFIN', 'sein'], ['es', 'PPER', 'es'], ['immer', 'ADV', 'immer'], ['umgekehrt', 'ADJD', 'umgekehrt'], ['in', 'APPR', 'in'], ['meinem', 'PPOSAT', 'mein'], ['Zusammenleben', 'NN', 'Zusammenleben'], ['mit', 'APPR', 'mit'], ['Männern', 'NN', 'Mann'], [',', '$,', ','], ['oder', 'KON', 'oder'], ['es', 'PPER', 'es'], ['scheint', 'VVFIN', 'scheinen'], ['mir', 'PPER', 'ich'], ['zumindest', 'ADV', 'zumindest'], ['so', 'ADV', 'so'], [',', '$,', ','], ['daß', 'KOUS', 'dass'], ['immer', 'ADV', 'immer'], ['ich', 'PPER', 'ich'], ['es', 'PPER', 'es'], ['war', 'VAFIN', 'sein'], [',', '$,', ','], ['die', 'PRELS', 'die'], ['mehr', 'ADV', 'mehr'], ['gegeben', 'VVPP', 'geben'], ['hat', 'VAFIN', 'haben'], [',', '$,', ','], ['und', 'KON', 'und'], ['am', 'APPRART', 'an'], ['Ende', 'NN', 'Ende'], ['verließen', 'VVFIN', 'verlassen'], ['mich', 'PRF', 'ich'], ['die', 'ART', 'die'], ['Männer', 'NN', 'Mann'], ['dann', 'ADV', 'dann'], [',', '$,', ','], ['so', 'ADV', 'so'], ['wie', 'KOKOM', 'wie'], ['dein', 'PPOSAT', 'dein'], ['Vater', 'NN', 'Vater'], ['.', '$.', '.']];PWAV;wissen;y;
Belletristik;"Schrott, Raoul: Tristan da Cunha oder die Hälfte der Erde; Hanser Verlag 2003, S. 337";Jede einzelne Wand in der ausgeblasenen Öde dieses Tals ist glatt, von einem dunklen mineralischen Lack überzogen, ein lunarer Glanz, der die Mumien der Robben darin um so unnahbarer werden läßt.;Keiner von uns kann sich erklären, warum sie soweit von der Küste landeinwärts gewandert sind und wann.;Auf den ersten Blick scheinen sie nur in ihren schwerfälligen Bewegungen innegehalten zu haben, Kopf und Flossen in der Luft, die Backenzähne bleckend.;wann;y;;sich erklären;-2;m;y, ohne;17;[['Keiner', 'PIS', 'keine'], ['von', 'APPR', 'von'], ['uns', 'PPER', 'wir'], ['kann', 'VMFIN', 'können'], ['sich', 'PRF', 'sich'], ['erklären', 'VVINF', 'erklären'], [',', '$,', ','], ['warum', 'PWAV', 'warum'], ['sie', 'PPER', 'sie'], ['soweit', 'ADV', 'soweit'], ['von', 'APPR', 'von'], ['der', 'ART', 'die'], ['Küste', 'NN', 'Küste'], ['landeinwärts', 'ADV', 'landeinwärts'], ['gewandert', 'VVPP', 'wandern'], ['sind', 'VAFIN', 'sein'], ['und', 'KON', 'und'], ['wann', 'PWAV', 'wann'], ['.', '$.', '.']];[['Jede', 'PIAT', 'jede'], ['einzelne', 'ADJA', 'einzeln'], ['Wand', 'NN', 'Wand'], ['in', 'APPR', 'in'], ['der', 'ART', 'die'], ['ausgeblasenen', 'ADJA', 'ausgeblasen'], ['Öde', 'NN', 'Öde'], ['dieses', 'PDAT', 'dies'], ['Tals', 'NN', 'Tal'], ['ist', 'VAFIN', 'sein'], ['glatt', 'ADJD', 'glatt'], [',', '$,', ','], ['von', 'APPR', 'von'], ['einem', 'ART', 'eine'], ['dunklen', 'ADJA', 'dunkel'], ['mineralischen', 'ADJA', 'mineralisch'], ['Lack', 'NN', 'Lack'], ['überzogen', 'VVPP', 'überziehen'], [',', '$,', ','], ['ein', 'ART', 'eine'], ['lunarer', 'ADJA', '<unknown>'], ['Glanz', 'NN', 'Glanz'], [',', '$,', ','], ['der', 'PRELS', 'die'], ['die', 'ART', 'die'], ['Mumien', 'NN', 'Mumie'], ['der', 'ART', 'die'], ['Robben', 'NN', 'Robbe'], ['darin', 'PAV', 'darin'], ['um', 'APPR', 'um'], ['so', 'ADV', 'so'], ['unnahbarer', 'ADJD', 'unnahbar'], ['werden', 'VAINF', 'werden'], ['läßt', 'VVFIN', 'lassen'], ['.', '$.', '.']];PWAV;sein;n;
Belletristik;Goosen, Frank: Liegen lernen, Frankfurt am Main: Eichborn AG 2000, S. 14;Vielleicht suchte er etwas.;Gefunden hat er nie was.;Meine Mutter räumte in der Zwischenzeit die Gemeinschaftsküche der Pension auf und widmete sich dann ihren Kreuzworträtselheften, die sie im Urlaub stapelweise durcharbeitete, als bekäme sie Geld dafür.;was;n;indefinite pronoun;;;;y, kaum;5;[['Gefunden', 'ADJD', 'gefunden'], ['hat', 'VAFIN', 'haben'], ['er', 'PPER', 'er'], ['nie', 'ADV', 'nie'], ['was', 'PIS', 'was'], ['.', '$.', '.']];[['Vielleicht', 'ADV', 'vielleicht'], ['suchte', 'VVFIN', 'suchen'], ['er', 'PPER', 'er'], ['etwas', 'ADV', 'etwas'], ['.', '$.', '.']];PIS;haben;NA;
